Block Index,Storage Assignment (Mb) C = 1,Storage Assignment (Mb) C = 2,Storage Assignment (Mb) C = 3,Storage Assignment (Mb) C = 4,Storage Assignment (Mb) C = 5,Blockchain size (Mb)
816,11.480061642857141,15.805749285714285,22.29428075,27.340916333333332,37.4341875,60.559627
817,11.48593942857143,15.814274857142856,22.306778,27.356502666666668,37.455952,60.596696
818,11.4941785,15.82754,22.32758225,27.38317066666667,37.4943475,60.667061
819,11.499515357142858,15.835585714285715,22.33969125,27.39844,37.5159375,60.704985
820,11.5067055,15.846763,22.35684925,27.420249666666667,37.5470505,60.760805
821,11.512891642857142,15.855856285714285,22.37030325,27.437095333333332,37.5706795,60.801505
822,11.518495214285714,15.864037428571429,22.38235075,27.45215,37.5917485,60.837591
823,11.534411285714285,15.88751857142857,22.4171795,27.49580466666667,37.653055,60.943502
824,11.540523142857142,15.897087285714285,22.4319335,27.514591666666668,37.679908,60.991898
825,11.547576071428571,15.907100142857143,22.44638625,27.532497666666668,37.7047205,61.033337
826,11.556165714285715,15.91949442857143,22.4644875,27.555037666666667,37.736138,61.086602
827,11.562559642857142,15.928793285714285,22.47814375,27.572083,37.7599615,61.127271
828,11.802498714285715,16.230527428571428,22.8725705,28.038604,38.370671,61.992402
829,11.808758285714285,16.24048757142857,22.8880815,28.058432333333332,38.399134,62.04421
830,11.815917285714285,16.25083557142857,22.903213,28.07728433333333,38.425427,62.088856
831,11.821936857142859,16.260198714285714,22.9175915,28.095563666666667,38.451508,62.135666
832,11.834068142857141,16.277408285714287,22.9424185,28.12631533333333,38.494109,62.206762
833,11.839214214285715,16.285545428571428,22.95504225,28.142428666666667,38.5172015,62.248637
834,11.848354285714285,16.30045157142857,22.9785975,28.172711,38.560938,62.329362
835,11.929565357142858,16.396982714285716,23.09810875,28.31009566666667,38.7340695,62.543843
836,11.93746792857143,16.409604857142856,23.11781025,28.335303333333332,38.7702895,62.609917
837,11.947276642857142,16.423160285714285,23.13698575,28.35885,38.8025785,62.662371
838,11.958463785714285,16.43863957142857,23.15890325,28.385775,38.8395185,62.722461
839,11.965330428571429,16.448134857142858,23.1723415,28.40228,38.862157,62.759262
840,11.972291071428572,16.458920142857142,23.18886375,28.423264333333332,38.8920655,62.812807
841,11.979691928571429,16.469628857142855,23.20453425,28.442794,38.9193135,62.859117
842,11.989877785714285,16.485080571428572,23.22788475,28.472288,38.9610945,62.932839
843,11.997299428571429,16.496126857142855,23.244368,28.493,38.990264,62.983584
844,12.004418357142859,16.506730714285716,23.26019925,28.512897,39.0182925,63.032373
845,12.025172357142859,16.533574714285713,23.29617825,28.555981,39.0755865,63.117633
846,12.033173642857141,16.545129285714285,23.31306275,28.577011,39.1049075,63.167379
847,12.039501214285714,16.554087428571428,23.32596675,28.592984,39.1270185,63.204207
848,12.04651807142857,16.563768142857143,23.33964325,28.60976833333333,39.1500185,63.241501
849,12.055791714285714,16.578020428571428,23.3613635,28.637297,39.189164,63.311202
850,12.0644755,16.590555,23.37967425,28.660100333333332,39.2209525,63.365113
